timestamp,ppg,label,stage,hand
1582541007831,2837515,0,0,0
1582541007931,2835320,0,0,0
1582541008031,2833910,0,0,0
1582541008132,2833194,0,0,0
1582541008232,2832090,0,0,0
1582541008332,2831410,0,0,0
1582541008432,2830939,0,0,0
1582541008532,2830534,0,0,0
1582541008632,2828441,0,0,0
1582541008732,2826752,0,0,0
1582541008832,2825699,0,0,0
1582541008932,2824555,0,0,0
1582541009033,2823774,0,0,0
1582541009133,2823226,0,0,0
1582541009222,2823001,0,0,0
1582541009322,2821495,0,0,0
1582541009423,2819858,0,0,0
1582541009522,2818771,0,0,0
1582541009622,2817699,0,0,0
1582541009722,2816770,0,0,0
1582541009822,2816299,0,0,0
1582541009922,2815994,0,0,0
1582541010023,2815680,0,0,0
1582541010123,2814124,0,0,0
1582541010233,2812305,0,0,0
1582541010333,2811322,0,0,0
1582541010433,2810396,0,0,0
1582541010533,2809762,0,0,0
1582541010634,2809421,0,0,0
1582541010733,2809024,0,0,0
1582541010833,2808327,0,0,0
1582541010934,2806822,0,0,0
1582541011033,2805796,0,0,0
1582541011133,2805213,0,0,0
1582541011234,2804495,0,0,0
1582541011333,2804366,0,0,0
1582541011434,2804151,0,0,0
1582541011534,2803876,0,0,0
1582541011634,2803381,0,0,0
1582541011734,2802167,0,0,0
1582541011834,2801594,0,0,0
1582541011934,2800997,0,0,0
1582541012034,2800699,0,0,0
1582541012134,2800672,0,0,0
1582541012234,2800543,0,0,0
1582541012334,2800469,0,0,0
1582541012436,2799584,0,0,0
1582541012534,2798861,0,0,0
1582541012634,2798432,0,0,0
1582541012735,2797953,0,0,0
1582541012835,2797590,0,0,0
1582541012934,2797211,0,0,0
1582541013035,2797298,0,0,0
1582541013125,2796917,0,0,0
1582541013225,2796237,0,0,0
1582541013327,2795827,0,0,0
1582541013426,2795793,0,0,0
1582541013525,2795534,0,0,0
1582541013625,2795527,0,0,0
1582541013725,2795424,0,0,0
1582541013825,2795336,0,0,0
1582541013936,2794543,0,0,0
1582541014025,2794251,0,0,0
1582541014125,2794084,0,0,0
1582541014226,2793871,0,0,0
1582541014325,2793769,0,0,0
1582541014425,2793837,0,0,0
1582541014526,2793551,0,0,0
1582541014626,2792568,0,0,0
1582541014726,2792290,0,0,0
1582541014827,2791934,0,0,0
1582541014926,2791546,0,0,0
1582541015026,2791500,0,0,0
1582541015126,2791373,0,0,0
1582541015226,2790615,0,0,0
1582541015326,2789766,0,0,0
1582541015427,2789448,0,0,0
